Seed,Model,Dataset,Approach,Value,accuracy_10,f1_10,accuracy_50,f1_50,accuracy_100,f1_100,accuracy_250,f1_250,accuracy_500,f1_500,accuracy_750,f1_750,accuracy_1000,f1_1000,accuracy_2500,f1_2500,accuracy_5000,f1_5000,accuracy_7500,f1_7500,accuracy_9000,f1_9000
20,MLP,MNISTbinary,IneurAL (tuned),1585.0,0.6157,0.5932761456788466,0.748,0.7473415480218775,0.8167,0.8164707252698918,0.9151,0.9150786463207112,0.9294,0.9294036374260697,0.9515,0.9514962416718222,0.9652,0.9651998955765048,,,,,,,,
21,MLP,MNISTbinary,IneurAL (tuned),1522.0,0.714,0.7082691837321853,0.749,0.7461113902894942,0.8165,0.8163906091792819,0.9056,0.9055432845735822,0.9392,0.9391881504598965,0.9552,0.9552019355857668,0.9639,0.9639010380371934,,,,,,,,
22,MLP,MNISTbinary,IneurAL (tuned),1631.0,0.6952,0.6947621247947603,0.7487,0.7475509593790673,0.8208,0.8207352261732233,0.8962,0.8960044653576144,0.9284,0.9284029932421823,0.9458,0.9457790619192925,0.9561,0.9561021717894884,,,,,,,,
23,MLP,MNISTbinary,IneurAL (tuned),1522.0,0.6219,0.5722223709982412,0.8002,0.7996729826900548,0.8124,0.8100489835503997,0.9029,0.9028391033637501,0.9397,0.9397032726279082,0.9537,0.95369919021202,0.9606,0.9606004412802824,,,,,,,,
24,MLP,MNISTbinary,IneurAL (tuned),1600.0,0.5997,0.5839628618623481,0.7729,0.7720283679292225,0.8408,0.8408040761878427,0.9097,0.9095923390966764,0.9322,0.9321571569535537,0.9463,0.946302037937193,0.9531,0.9531007067838551,,,,,,,,
0,MLP,MNISTbinary,Neuronal (official),1743.0,0.6171,0.615630392250547,0.7605,0.7604584856083393,0.7697,0.7697061421280869,0.8288,0.8284203282930866,0.8882,0.8882037570210108,0.9125,0.9124826612119454,0.9548,0.9548019526712427,,,,,,,,
1,MLP,MNISTbinary,Neuronal (official),1670.0,0.6518,0.6417298135396517,0.7966,0.7959429037602562,0.8112,0.8109569592330752,0.8609,0.8609073825957887,0.8963,0.8962503310120912,0.9316,0.9315982051794052,0.9508,0.9508014642004339,,,,,,,,
2,MLP,MNISTbinary,Neuronal (official),1730.0,0.6335,0.6333890753495285,0.7562,0.7536666111672785,0.7783,0.7772411994518432,0.8469,0.8469050025094174,0.8981,0.8981010059529936,0.9208,0.9207950974800894,0.9495,0.9495002197211965,,,,,,,,
3,MLP,MNISTbinary,Neuronal (official),1775.0,0.5258,0.4451411665454546,0.7286,0.7241314301236842,0.7541,0.7533922193131779,0.8354,0.8350692689844136,0.9069,0.9068973885374529,0.9273,0.9272962682776162,0.9559,0.9559015997259867,,,,,,,,
4,MLP,MNISTbinary,Neuronal (official),1690.0,0.6709,0.6686709970183998,0.7946,0.7944430352937407,0.8023,0.8016406391320361,0.8446,0.8442029601758575,0.8771,0.8770628031663222,0.9249,0.9249036434580954,0.9496,0.9496022438475815,,,,,,,,
